"ZIPCODE","MONTH","YEAR","CUSTOMERCLASS","COMBINED","TOTALCUSTOMERS","TOTALTHM","AVERAGETHM"
"94542",1,2019,"Gas- Commercial","Y",0,0,NA
"94542",3,2019,"Gas- Commercial","Y",0,0,NA
"94544",2,2019,"Gas- Commercial","Y",758,343320,453
"94545",1,2019,"Gas- Commercial","N",1192,486990,409
"94545",3,2019,"Gas- Commercial","N",1194,461276,386
"94546",2,2019,"Gas- Commercial","Y",786,277388,353
"94547",1,2019,"Gas- Commercial","Y",0,0,NA
"94547",3,2019,"Gas- Commercial","Y",0,0,NA
"94549",2,2019,"Gas- Commercial","Y",548,220648,403
"94550",1,2019,"Gas- Commercial","N",663,314447,474
"94550",3,2019,"Gas- Commercial","N",673,291792,434
"94551",2,2019,"Gas- Commercial","Y",922,478333,519
"94552",1,2019,"Gas- Commercial","Y",0,0,NA
"94552",3,2019,"Gas- Commercial","Y",0,0,NA
"94553",2,2019,"Gas- Commercial","Y",1495,696701,466
"94555",1,2019,"Gas- Commercial","N",108,123279,1141
"94555",3,2019,"Gas- Commercial","N",108,110821,1026
"94556",2,2019,"Gas- Commercial","Y",0,0,NA
"94558",1,2019,"Gas- Commercial","Y",998,563610,565
"94558",3,2019,"Gas- Commercial","Y",997,508814,510
"94559",2,2019,"Gas- Commercial","N",697,296632,426
"94560",1,2019,"Gas- Commercial","N",603,350809,582
"94560",3,2019,"Gas- Commercial","Y",1051,465243,443
"94561",2,2019,"Gas- Commercial","Y",0,0,NA
"94563",1,2019,"Gas- Commercial","Y",0,0,NA
"94563",3,2019,"Gas- Commercial","Y",0,0,NA
"94564",2,2019,"Gas- Commercial","Y",597,243388,408
"94565",1,2019,"Gas- Commercial","Y",0,0,NA
"94565",3,2019,"Gas- Commercial","Y",0,0,NA
"94566",2,2019,"Gas- Commercial","N",738,271937,368
"94568",1,2019,"Gas- Commercial","Y",1662,1107132,666
"94568",3,2019,"Gas- Commercial","N",659,371864,564
