"ZIPCODE","MONTH","YEAR","CUSTOMERCLASS","COMBINED","TOTALCUSTOMERS","TOTALKWH","AVERAGEKWH"
"94062",1,2019,"Elec- Commercial","Y",0,0,NA
"94062",3,2019,"Elec- Commercial","Y",0,0,NA
"94063",2,2019,"Elec- Commercial","N",1678,17760312,10584
"94065",1,2019,"Elec- Commercial","Y",0,0,NA
"94065",3,2019,"Elec- Commercial","Y",0,0,NA
"94066",2,2019,"Elec- Commercial","Y",0,0,NA
"94070",1,2019,"Elec- Commercial","N",1502,8695844,5790
"94070",3,2019,"Elec- Commercial","N",1490,8471678,5686
"94074",2,2019,"Elec- Commercial","Y",0,0,NA
"94080",1,2019,"Elec- Commercial","Y",2581,39248748,15207
"94080",3,2019,"Elec- Commercial","Y",2577,38923830,15104
"94085",2,2019,"Elec- Commercial","Y",0,0,NA
"94086",1,2019,"Elec- Commercial","N",652,10943552,16785
"94086",3,2019,"Elec- Commercial","Y",0,0,NA
"94087",2,2019,"Elec- Commercial","Y",0,0,NA
"94089",1,2019,"Elec- Commercial","Y",0,0,NA
"94089",3,2019,"Elec- Commercial","Y",0,0,NA
"94102",2,2019,"Elec- Commercial","N",1163,13913743,11964
"94103",1,2019,"Elec- Commercial","N",2025,27638578,13649
"94103",3,2019,"Elec- Commercial","N",2012,26508391,13175
"94104",2,2019,"Elec- Commercial","N",148,6895453,46591
"94105",1,2019,"Elec- Commercial","N",492,20972314,42627
"94105",3,2019,"Elec- Commercial","N",488,20325697,41651
"94107",2,2019,"Elec- Commercial","N",1489,15563744,10452
"94108",1,2019,"Elec- Commercial","N",1244,10522372,8458
"94108",3,2019,"Elec- Commercial","N",1240,10185362,8214
"94109",2,2019,"Elec- Commercial","N",1545,10580972,6849
"94110",1,2019,"Elec- Commercial","N",1902,7400523,3891
"94110",3,2019,"Elec- Commercial","N",1899,6630573,3492
"94111",2,2019,"Elec- Commercial","Y",468,11005738,23517
"94112",1,2019,"Elec- Commercial","N",822,3465667,4216
"94112",3,2019,"Elec- Commercial","N",826,3475030,4207
"94114",2,2019,"Elec- Commercial","Y",998,3799853,3807
"94115",1,2019,"Elec- Commercial","Y",0,0,NA
"94115",3,2019,"Elec- Commercial","Y",0,0,NA
"94116",2,2019,"Elec- Commercial","N",457,1416753,3100
"94117",1,2019,"Elec- Commercial","N",683,2606774,3817
"94117",3,2019,"Elec- Commercial","N",686,2576083,3755
"94118",2,2019,"Elec- Commercial","Y",2576,10536497,4090
"94121",1,2019,"Elec- Commercial","Y",0,0,NA
"94121",3,2019,"Elec- Commercial","Y",0,0,NA
"94122",2,2019,"Elec- Commercial","Y",0,0,NA
"94123",1,2019,"Elec- Commercial","N",931,2958902,3178
"94123",3,2019,"Elec- Commercial","N",931,2819187,3028
